,,,,VFA-CF,,,,,VFA-2S,,,,,MH,,,,,ME,,,,,Oprd_HEU,,,,,dRDW,,,sRDW,,,UB,,
beta,delta,#instances,timeHorizon,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,route_time,wait_time,#routes,route_time,wait_time,#routes,route_time,wait_time
0.5,0,48,277.94,2.38,6.19,15.27,263.27,-263.27,2.38,5.94,15.11,264.00,-264.00,2.38,3.19,17.02,272.06,-272.06,2.31,3.13,17.05,271.56,-271.56,2.27,3.02,19.88,209.65,-209.65,2.90,221.25,-221.25,3.13,241.19,-241.19,2.79,248.13,-248.13
,0.5,48,276.63,2.44,6.56,14.99,262.73,-262.73,2.42,6.65,15.06,261.15,-261.15,2.35,3.00,16.06,273.90,-273.90,2.38,3.21,16.88,271.17,-271.17,2.54,3.33,19.31,201.06,-201.06,2.90,225.73,-225.73,3.31,242.85,-242.85,3.17,250.13,-250.13
,1,48,308.04,2.58,7.46,14.31,290.46,-290.46,2.58,7.40,14.42,290.04,-290.04,2.44,3.31,16.35,300.98,-300.98,2.42,3.15,15.41,303.83,-303.83,2.85,3.42,18.86,256.08,-256.08,3.31,253.46,-253.46,3.38,264.81,-264.81,3.29,269.69,-269.69
,AVG,48,287.53,2.47,6.74,14.86,272.15,-272.15,2.46,6.66,14.86,271.73,-271.73,2.39,3.17,16.48,282.31,-282.31,2.37,3.16,16.45,282.19,-282.19,2.56,3.26,19.35,222.26,-222.26,3.03,233.5,-233.48,3.27,249.6,-249.62,3.08,255.98,-255.98
1,0,48,550.63,4.44,6.85,13.10,529.44,-529.44,4.35,6.65,13.14,526.46,-526.46,3.38,4.00,13.44,546.13,-546.13,3.38,4.25,12.50,531.50,-531.50,6.06,6.83,16.62,451.10,-451.10,4.98,466.60,-466.60,5.52,466.75,-466.75,7.73,496.88,-496.88
,0.5,48,535.08,4.13,8.10,12.49,507.04,-507.04,4.06,7.56,12.58,505.13,-505.13,3.21,3.98,13.02,525.81,-525.81,3.40,4.25,12.70,523.21,-523.21,5.19,6.00,15.54,415.58,-415.58,5.40,465.42,-465.42,5.06,454.48,-454.48,6.92,476.81,-476.81
,1,48,614.94,4.23,7.63,10.91,576.29,-576.29,4.27,6.90,11.47,575.19,-575.19,3.69,4.54,12.63,593.54,-593.54,3.98,4.85,11.66,586.85,-586.85,6.46,7.06,16.55,535.19,-535.19,6.25,527.67,-527.67,5.19,504.23,-504.23,8.29,552.50,-552.50
,AVG,48,566.88,4.26,7.53,12.17,537.59,-537.59,4.23,7.03,12.40,535.59,-535.59,3.42,4.17,13.03,555.16,-555.16,3.58,4.45,12.29,547.19,-547.19,5.90,6.63,16.24,467.29,-467.29,5.54,486.6,-486.56,5.26,475.2,-475.15,7.65,508.73,-508.73
1.5,0,48,865.63,5.54,8.98,8.13,789.79,-789.79,5.60,7.25,8.87,786.77,-786.77,4.81,5.94,9.05,799.94,-799.94,5.19,6.25,8.52,797.44,-797.44,9.56,10.10,14.79,756.19,-756.19,7.13,677.92,-677.92,4.79,516.44,-516.44,11.33,787.27,-787.27
,0.5,48,771.88,5.48,9.31,9.53,717.54,-717.54,5.46,7.50,9.90,711.08,-711.08,4.56,5.48,9.48,738.00,-738.00,4.96,5.96,8.79,725.27,-725.27,7.58,8.13,14.77,640.31,-640.31,6.92,618.40,-618.40,5.96,558.06,-558.06,10.56,707.15,-707.15
,1,48,805.90,5.56,8.56,8.23,755.19,-755.19,5.56,7.23,8.97,748.13,-748.13,4.83,5.58,9.29,778.21,-778.21,5.23,6.13,8.86,762.83,-762.83,8.48,9.13,13.37,719.31,-719.31,8.75,696.44,-696.44,6.27,617.40,-617.40,11.38,738.81,-738.81
,AVG,48,814.47,5.53,8.95,8.63,754.17,-754.17,5.54,7.33,9.25,748.66,-748.66,4.74,5.67,9.27,772.05,-772.05,5.13,6.11,8.72,761.85,-761.85,8.54,9.12,14.31,705.27,-705.27,7.60,664.25,-664.25,5.67,563.97,-563.97,11.09,744.41,-744.41
AVG,,48,556.29,4.09,7.74,11.88,521.31,-521.31,4.08,7.01,12.17,518.66,-518.66,3.52,4.34,12.93,536.51,-536.51,3.69,4.57,12.48,530.41,-530.41,5.67,6.34,16.63,464.94,-464.94,5.39,461.43,-461.43,4.73,429.58,-429.58,7.27,503.04,-503.04